Company Name,Address,Website,Company Description,Year Established,Parent Company,Contact Name,Title,Office Phone,Email,Association Memberships - FIDI,Association Memberships - DAB,Association Memberships - Harmony
"Alison's Relocations, Inc.","310 E 1st Ave Anchorage, AK, 99501-1644
United States",http://www.alisonsrelo.com,"Alisons Relocations provides moving services to and from all points in Alaska including the road system, rail belt, ferry system, and the bush utilizing air carriers to all points in the lower 48 via ocean carrier through the Port of Seattle and the Alaska Highway through Great Falls, MT. In addition to our primary customer base, we also have corporate clients, government and municipal contracts and are military approved. Alison’s has maintained an A average with military quality control inspections and maintains a spot-clean, secured warehouse. Our combined industry management experience and employee/mover certification program assure high quality and cost-effective moving services.",1997,,Christina Spencer  ,General Manager,1 9073459934Cell Phone:1 9072277280  ,cspencer@ari-alaska.net  ,,Yes,
"Alison's Relocations, Inc.","310 E 1st Ave Anchorage, AK, 99501-1644
United States",http://www.alisonsrelo.com,"Alisons Relocations provides moving services to and from all points in Alaska including the road system, rail belt, ferry system, and the bush utilizing air carriers to all points in the lower 48 via ocean carrier through the Port of Seattle and the Alaska Highway through Great Falls, MT. In addition to our primary customer base, we also have corporate clients, government and municipal contracts and are military approved. Alison’s has maintained an A average with military quality control inspections and maintains a spot-clean, secured warehouse. Our combined industry management experience and employee/mover certification program assure high quality and cost-effective moving services.",1997,,Valerie Westdahl  ,Office Manager/ Sales Representative,,vwestdahl@ari-alaska.net  ,,Yes,
Allied,"882/2 Loft Lane, La Salle Road
Sukhumvit 105, Bangna
Bangkok, 10260
Thailand",http://www.alliedthailand.com/,"Allied Pickfords is a member of SIRVA Group - a leader in providing relocation solutions around the world; SIRVA has redefined the relocation industry with customers’ needs in mind. Together we formed the largest relocation company with a strong foothold worldwide & a quality that clients can rely on. We offer 600 locations worldwide, in more than 40 countries. Globally moving over 600 families daily – the industry’s leading international mover & over 70% of business is with Corporate and Government sectors. Allied Pickfords has specialist Software GlobalComSM to track & report the status of all consignments.",2002,SIRVA Inc.,Samir Apaya  ,Sales Manager,66 23613961,samir.apaya@alliedthailand.com  ,,,
Allied,"882/2 Loft Lane, La Salle Road
Sukhumvit 105, Bangna
Bangkok, 10260
Thailand",http://www.alliedthailand.com/,"Allied Pickfords is a member of SIRVA Group - a leader in providing relocation solutions around the world; SIRVA has redefined the relocation industry with customers’ needs in mind. Together we formed the largest relocation company with a strong foothold worldwide & a quality that clients can rely on. We offer 600 locations worldwide, in more than 40 countries. Globally moving over 600 families daily – the industry’s leading international mover & over 70% of business is with Corporate and Government sectors. Allied Pickfords has specialist Software GlobalComSM to track & report the status of all consignments.",2002,SIRVA Inc.,Guy Ellis  ,Country Manager,66 23613961Cell Phone:66 898932750  ,guy.ellis@alliedthailand.comSkype:info@alliedthailand.com        ,,,
Allied,"882/2 Loft Lane, La Salle Road
Sukhumvit 105, Bangna
Bangkok, 10260
Thailand",http://www.alliedthailand.com/,"Allied Pickfords is a member of SIRVA Group - a leader in providing relocation solutions around the world; SIRVA has redefined the relocation industry with customers’ needs in mind. Together we formed the largest relocation company with a strong foothold worldwide & a quality that clients can rely on. We offer 600 locations worldwide, in more than 40 countries. Globally moving over 600 families daily – the industry’s leading international mover & over 70% of business is with Corporate and Government sectors. Allied Pickfords has specialist Software GlobalComSM to track & report the status of all consignments.",2002,SIRVA Inc.,Alex Lopez  ,Sales & Marketing,66 2361-3961,alex.lopez@alliedthailand.com  ,,,
Allied,"882/2 Loft Lane, La Salle Road
Sukhumvit 105, Bangna
Bangkok, 10260
Thailand",http://www.alliedthailand.com/,"Allied Pickfords is a member of SIRVA Group - a leader in providing relocation solutions around the world; SIRVA has redefined the relocation industry with customers’ needs in mind. Together we formed the largest relocation company with a strong foothold worldwide & a quality that clients can rely on. We offer 600 locations worldwide, in more than 40 countries. Globally moving over 600 families daily – the industry’s leading international mover & over 70% of business is with Corporate and Government sectors. Allied Pickfords has specialist Software GlobalComSM to track & report the status of all consignments.",2002,SIRVA Inc.,Pawit Upra  ,Sales and Pricing Coordinator,66 23613961,pawit@alliedthailand.com  ,,,
Allied,"882/2 Loft Lane, La Salle Road
Sukhumvit 105, Bangna
Bangkok, 10260
Thailand",http://www.alliedthailand.com/,"Allied Pickfords is a member of SIRVA Group - a leader in providing relocation solutions around the world; SIRVA has redefined the relocation industry with customers’ needs in mind. Together we formed the largest relocation company with a strong foothold worldwide & a quality that clients can rely on. We offer 600 locations worldwide, in more than 40 countries. Globally moving over 600 families daily – the industry’s leading international mover & over 70% of business is with Corporate and Government sectors. Allied Pickfords has specialist Software GlobalComSM to track & report the status of all consignments.",2002,SIRVA Inc.,Jerry van Beusichem  ,International Move Consultant,66 2361-3961Cell Phone:66 5930-3098  ,jerry.vb@alliedthailand.com  ,,,
Allied Pickfords Japan,"REID-C Tsukiji Bldg 2F
6-17-4 Tsukiji
Chuo-ku
Tokyo, 104-0045
Japan",https://www.alliedmoving.jp,"Collocated office for Allied and SIRVA Relocation. With over 600 locations in more than 40 countries, Allied has grown to become one of the largest and most respected providers of moving services, handling over 50,000 international moves every year. Allied Japan is supported by 16 employees. As part of our commitment to workforce diversity, our Japan office employs multilingual (including Japanese, English, French, Dutch, & Spanish) different nationalities. And in keeping with our corporate commitment to community giving, we contribute to various organizations either directly or through supporting local and international schools in their charitable activities.",1983,SIRVA Inc.,Caroline Kennedy  ,Managing Director,81 3-3524-3505,caroline.kennedy@alliedmoving.jp  ,,,
Allied Pickfords Japan,"REID-C Tsukiji Bldg 2F
6-17-4 Tsukiji
Chuo-ku
Tokyo, 104-0045
Japan",https://www.alliedmoving.jp,"Collocated office for Allied and SIRVA Relocation. With over 600 locations in more than 40 countries, Allied has grown to become one of the largest and most respected providers of moving services, handling over 50,000 international moves every year. Allied Japan is supported by 16 employees. As part of our commitment to workforce diversity, our Japan office employs multilingual (including Japanese, English, French, Dutch, & Spanish) different nationalities. And in keeping with our corporate commitment to community giving, we contribute to various organizations either directly or through supporting local and international schools in their charitable activities.",1983,SIRVA Inc.,Bryan Loudon  ,General Manager,81 3-3524-3505,Bryan.Loudon@alliedmoving.jp  ,,,
Allied Pickfords Japan,"REID-C Tsukiji Bldg 2F
6-17-4 Tsukiji
Chuo-ku
Tokyo, 104-0045
Japan",https://www.alliedmoving.jp,"Collocated office for Allied and SIRVA Relocation. With over 600 locations in more than 40 countries, Allied has grown to become one of the largest and most respected providers of moving services, handling over 50,000 international moves every year. Allied Japan is supported by 16 employees. As part of our commitment to workforce diversity, our Japan office employs multilingual (including Japanese, English, French, Dutch, & Spanish) different nationalities. And in keeping with our corporate commitment to community giving, we contribute to various organizations either directly or through supporting local and international schools in their charitable activities.",1983,SIRVA Inc.,Kenneth Tsutsumi  ,President,,Ken.Tsutsumi@alliedmoving.jp  ,,,
AMJ Campbell Calgary,"1722 118 Ave NE Calgary, AB, T3K 0R1
Canada",https://www.amjcampbell.com,"AMJ Campbell Calgary is your local, experienced moving company and we’re committed to providing you with exceptional, personalized service and 100% customer satisfaction. Our highly trained professionals are ready to provide you with superior service for all of your packing, transport, delivery and/or storage requirements. Our Calgary movers recognize that every move has different needs and requirements and are committed to handling each one with individual attention. To ensure a smooth move, our consultants will provide you with all the details of your move and what you can expect from us.",1980,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,,,
AMJ Campbell International Canada,"8188 Swenson Way Delta, BC, V4G 1J6
Canada",http://www.amjcampbell.com,"When leading moving services companies need help relocating their clients to or from Canada, no other Canadian overseas moving company is called upon for help more often than AMJ Campbell International. We translate your unique scheduling and budget needs into action with a personalized approach. No matter where you are moving to, we can accommodate you.",1981,AMJ Campbell International Toronto,Janet Delaney  ,Import Manager,1 6049408410,jdelaney@amjcampbell.com  ,Yes,,
AMJ Campbell International Montreal,"1255, 32nd Avenue Montreal, QC, H8T 3H2
Canada",http://www.amj-international.com,"AMJ Campbell Montreal is proud to maintain an active role in the Montreal community. Excelling in relocation services, we go above and beyond for each and every one of our customers. Established in 1975, we are incredibly experienced in the moving industry, and have a deep commitment to providing excellence in every moving experience we make.",2009,AMJ Campbell International Toronto,Artem Donskikh  ,Manager International Department,1 5146315223Cell Phone:1 5149195150  ,adonskikh@amjcampbell.com  ,,,
AMJ Campbell International Montreal,"1255, 32nd Avenue Montreal, QC, H8T 3H2
Canada",http://www.amj-international.com,"AMJ Campbell Montreal is proud to maintain an active role in the Montreal community. Excelling in relocation services, we go above and beyond for each and every one of our customers. Established in 1975, we are incredibly experienced in the moving industry, and have a deep commitment to providing excellence in every moving experience we make.",2009,AMJ Campbell International Toronto,Andre Lelievre  ,Corporate Development,1 5146315223Cell Phone:1 5146065063  ,alelievre@AMJCampbell.com  ,,,
AMJ Campbell International Montreal,"1255, 32nd Avenue Montreal, QC, H8T 3H2
Canada",http://www.amj-international.com,"AMJ Campbell Montreal is proud to maintain an active role in the Montreal community. Excelling in relocation services, we go above and beyond for each and every one of our customers. Established in 1975, we are incredibly experienced in the moving industry, and have a deep commitment to providing excellence in every moving experience we make.",2009,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,,,
AMJ Campbell International Toronto,"6140 Vipond Drive Mississauga, ON, L5T 2B2
Canada",https://www.amjcampbell.com,"We know that moving isn’t just about possessions – it’s about people. Since 1934, we have dedicated ourselves to providing relocation services built on trust and integrity.",2017,,Gina Correia  ,General Manager,1 9056707111,gcorreia@amjcampbell.com  ,Yes,,
AMJ Campbell International Toronto,"6140 Vipond Drive Mississauga, ON, L5T 2B2
Canada",https://www.amjcampbell.com,"We know that moving isn’t just about possessions – it’s about people. Since 1934, we have dedicated ourselves to providing relocation services built on trust and integrity.",2017,,Kirandeep Kaur  ,Operations,,kkaur@AMJCampbell.com  ,Yes,,
AMJ Campbell International Toronto,"6140 Vipond Drive Mississauga, ON, L5T 2B2
Canada",https://www.amjcampbell.com,"We know that moving isn’t just about possessions – it’s about people. Since 1934, we have dedicated ourselves to providing relocation services built on trust and integrity.",2017,,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,Yes,,
AMJ Campbell International Toronto,"6140 Vipond Drive Mississauga, ON, L5T 2B2
Canada",https://www.amjcampbell.com,"We know that moving isn’t just about possessions – it’s about people. Since 1934, we have dedicated ourselves to providing relocation services built on trust and integrity.",2017,,Danielle Oaks  ,"Director, InternationalCell Phone:1 4167375847  ",,doaks@amjcampbell.com  ,Yes,,
AMJ Campbell North Bay,"400 Carmichael Drive North Bay, ON, P1B 8G2
Canada",http://www.amjcampbell.com,"We've been moving North Bay’s homes and businesses seamlessly. If you're looking to move your home or business locally or internationally, AMJ Campbell is your top North Bay moving team. Our moving experts, logistics team and storage solutions can help your move happen smoothly and on time.",2017,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,,,
AMJ Campbell North Bay,"400 Carmichael Drive North Bay, ON, P1B 8G2
Canada",http://www.amjcampbell.com,"We've been moving North Bay’s homes and businesses seamlessly. If you're looking to move your home or business locally or internationally, AMJ Campbell is your top North Bay moving team. Our moving experts, logistics team and storage solutions can help your move happen smoothly and on time.",2017,AMJ Campbell International Toronto,Dave Willms  ,Vice President,,dwillms@amjnorthbay.com  ,,,
AMJ Campbell Ottawa,"2710 Stevenage Dr Gloucester, ON, K1G 3N2
Canada",http://www.amjcampbell.com,"AMJ Campbell Ottawa is conveniently located in the Ottawa-Gatineau Region and is your “One-Stop” service solution for all your moving needs. We are extremely proud of our knowledgeable and experienced moving service teams, all of whom are extremely customer centric. Our Ottawa movers have a proven track record for “Exceptional Personalized Service” through quality service delivery. Our mandate is to provide value to our customers with services, solutions, and competitive price offerings, which we believe will position AMJ Campbell’s Ottawa movers as an excellent candidate as your “Mover of Choice”.",2012,AMJ Campbell International Toronto,Marc Frappier  ,Managing Partner,1 6137370000,mfrappier@amjcampbell.com  ,Yes,,
AMJ Campbell Ottawa,"2710 Stevenage Dr Gloucester, ON, K1G 3N2
Canada",http://www.amjcampbell.com,"AMJ Campbell Ottawa is conveniently located in the Ottawa-Gatineau Region and is your “One-Stop” service solution for all your moving needs. We are extremely proud of our knowledgeable and experienced moving service teams, all of whom are extremely customer centric. Our Ottawa movers have a proven track record for “Exceptional Personalized Service” through quality service delivery. Our mandate is to provide value to our customers with services, solutions, and competitive price offerings, which we believe will position AMJ Campbell’s Ottawa movers as an excellent candidate as your “Mover of Choice”.",2012,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,Yes,,
AMJ Campbell Thunder Bay,"101 Syndicate Avenue North Thunder Bay, ON
Canada",https://www.amjcampbell.com,"AMJ Thunder Bay has been helping people move their homes and businesses. for years. AMJ is one of the top full-service moving companies in Canada. This means you can count on us to get where you need to go, no matter what — and feel good about it. Whether you are moving your home, your office, or making an international move, AMJ is here to support you.",1994,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,,,
AMJ Campbell Thunder Bay,"101 Syndicate Avenue North Thunder Bay, ON
Canada",https://www.amjcampbell.com,"AMJ Thunder Bay has been helping people move their homes and businesses. for years. AMJ is one of the top full-service moving companies in Canada. This means you can count on us to get where you need to go, no matter what — and feel good about it. Whether you are moving your home, your office, or making an international move, AMJ is here to support you.",1994,AMJ Campbell International Toronto,Wayne VanderWees  ,General Manager,,Wvanderwees@amjcampbell.com  ,,,
AMJ Campbell Van Lines,"38 Marketplace Drive Dartmouth, NS, B3B 0K1
Canada",,"For nearly four decades, AMJ Halifax moving experts has been helping people move their homes and businesses. As a port city in Canada, we are ideally situated for international moves, and that’s something which we are especially known for. AMJ Halifax has also grown to become a leader in home delivery services, working with marquee national retailers. Whether you are moving your home or your office, or making a local or an international move, AMJ Halifax has the moving experts to help you get there.",2017,AMJ Campbell International Toronto,Christina McCarte  ,"Director, International",,cmccarte@amjcampbell.com    IAM Young Professional  ,,,
AQUA Global Logistics LLC,"Office No 421, Building 135
Way 3510, MBD Area
Ruwi
Muscat, PC 112
Oman",http://www.aquarelocations.com,Our Moving team has considerable experience and are proficient in handling both outbound and inbound moves into the Kingdom. Our Services are top of the line and competitively priced.,2018,Linkindia Logistics Pvt. Ltd.,Vamsi Krishna Gadekal  ,Move Coordinator,968 24811621Cell Phone:968 9213-8699  ,intl.mct@aquarelocations.com  ,,,
AQUA Global Logistics LLC,"Office No 421, Building 135
Way 3510, MBD Area
Ruwi
Muscat, PC 112
Oman",http://www.aquarelocations.com,Our Moving team has considerable experience and are proficient in handling both outbound and inbound moves into the Kingdom. Our Services are top of the line and competitively priced.,2018,Linkindia Logistics Pvt. Ltd.,KS Shankarraman  ,CEO,91 77012445Cell Phone:91 39033628  ,ceo@linkindia.in  ,,,
AQUA Global Logistics LLC,"Office No 421, Building 135
Way 3510, MBD Area
Ruwi
Muscat, PC 112
Oman",http://www.aquarelocations.com,Our Moving team has considerable experience and are proficient in handling both outbound and inbound moves into the Kingdom. Our Services are top of the line and competitively priced.,2018,Linkindia Logistics Pvt. Ltd.,Sreejith Sivadas  ,Manager Removals,968 24811621Cell Phone:968 93203699  ,relomgr.mct@aquarelocations.com  ,,,
AQUA Global Logistics WLL,"Off. No. 604, 6th Floor, Markaz Almana Building, Street 310
Old Airport Road
Doha
Qatar",http://www.aquagloballogistics.com,"Aqua Global Logistics - was incorporated in December 2010 and has since then established itself as a strong and reliable logistics service provider in Middle East. We at Aqua Global Logistics cater to different segments - corporate and individual for handling moves Internationally, Regionally and Locally offering a complete range of services with regards to packing and Moving industries. Right from the moment of first interaction to quote for a move till the final transition of goods at the other end. Our Services From/To Qatar, Bahrain & Oman (GCC) 1. Packing and moving of Household Goods both Exports / Import : From GCC to any Other Country 2. Storage : Storage of Personal and Household Goods at our facility 3. Pet Relocation 4. Vehicle Relocation 5. Insurance : Transit and Storage Insurance for Household Goods. With 25+ years of Cumulative Professional experience, our team can offer personalized experience to the customers and handle any situation with utmost care.",2012,Linkindia Logistics Pvt. Ltd.,Aravind S  ,Customer Service Executive,,CS3.doh@aquaairlogistics.me  ,,,
AQUA Global Logistics WLL,"Off. No. 604, 6th Floor, Markaz Almana Building, Street 310
Old Airport Road
Doha
Qatar",http://www.aquagloballogistics.com,"Aqua Global Logistics - was incorporated in December 2010 and has since then established itself as a strong and reliable logistics service provider in Middle East. We at Aqua Global Logistics cater to different segments - corporate and individual for handling moves Internationally, Regionally and Locally offering a complete range of services with regards to packing and Moving industries. Right from the moment of first interaction to quote for a move till the final transition of goods at the other end. Our Services From/To Qatar, Bahrain & Oman (GCC) 1. Packing and moving of Household Goods both Exports / Import : From GCC to any Other Country 2. Storage : Storage of Personal and Household Goods at our facility 3. Pet Relocation 4. Vehicle Relocation 5. Insurance : Transit and Storage Insurance for Household Goods. With 25+ years of Cumulative Professional experience, our team can offer personalized experience to the customers and handle any situation with utmost care.",2012,Linkindia Logistics Pvt. Ltd.,Johnson Sanny  ,Manager Relocations,974 44420833Cell Phone:974 33555109  ,relomgr.doh@aquarelocations.com  ,,,
